Down,Distance,Yardline,EPA
2,12,90,-1010.1
2,7,90,-1010.1
2,8,74,-1010.1
1,14,72,-1020.41
2,6,90,-1010.1
4,20,41,-2.11397
2,5,90,-1010.1
3,3,19,-1010.1
3,17,60,-1010.1
3,19,90,-1010.1
3,16,90,-1010.1
4,7,59,-2.29807
3,15,90,-1010.1
4,18,96,-3.02024
3,13,90,-1010.1
3,6,90,-1010.1
3,1,90,-1000.03
3,12,73,-1010.1
4,14,90,-2.75607
4,12,90,-2.80288
4,9,90,-2.82445
4,5,90,-2.92113
4,3,90,-2.91989
4,1,90,-13.0601
4,14,31,-1010.1
4,6,60,-2.16816
1,20,89,-1020.41
1,13,89,-1020.41
4,15,39,-2.1852
1,12,89,-1020.4
1,8,61,-1020.41
4,10,66,-2.17571
1,11,89,-1020.2
2,18,57,-1010.1
1,18,75,-1020.41
1,9,89,-1020.41
4,10,38,-2.74131
1,8,89,-1020.41
1,4,89,-1020.41
1,1,89,-1020.2
1,9,57,-1020.41
2,18,89,-1010.1
2,15,89,-1010.1
2,13,89,-1010.1
2,7,36,-1010.1
2,12,89,-1010.1
2,7,89,-1010.1
2,8,55,-1010.1
1,14,75,-1020.41
2,6,89,-1010.1
4,20,42,-2.07596
2,5,89,-1010.1
2,4,89,-1010.1
2,1,89,-1010.1
3,3,20,-1010.1
3,17,49,-1010.1
3,19,89,-1010.1
3,16,89,-1010.1
4,7,58,-2.16519
3,15,89,-1010.1
4,18,99,-3.47958
3,13,89,-1010.1
3,11,89,-1010.1
3,6,89,-1010.1
1,12,71,-1020.4
4,15,89,-2.91923
3,12,74,-1010.1
4,14,89,-2.93059
4,12,89,-2.86878
4,9,89,-2.83688
3,2,24,-1010.1
4,8,89,-2.88136
4,5,89,-2.66555
4,3,89,-2.78894
2,11,87,-1010.1
3,18,43,-1010.1
4,2,89,-3.02592
4,1,89,-13.0643
4,14,28,-1010.1
4,6,35,-1010.1
1,20,88,-1020.41
1,19,88,-1020.41
1,9,40,-1020.41
2,18,40,-1010.1
1,18,88,-1020.41
1,13,88,-1020.41
4,15,88,-2.82481
1,12,88,-1020.4
2,18,56,-1010.1
1,18,72,-1020.41
1,9,88,-1020.41
4,10,39,-2.23326
1,8,88,-1020.41
1,4,88,-1020.41
1,1,88,-1020.2
1,9,56,-1020.41
2,18,88,-1010.1
2,15,88,-1010.1
2,13,88,-1010.1
2,7,88,-1010.1
1,14,74,-1020.41
2,8,72,-1010.1
2,6,88,-1010.1
4,20,43,-2.15044
2,5,88,-1010.1
2,4,88,-1010.1
2,1,88,-1010.1
3,3,21,-1010.1
3,17,62,-1010.1
3,19,88,-1010.1
3,16,88,-1010.1
3,15,88,-1010.1
4,18,98,-3.22297
3,13,88,-1010.1
3,6,88,-1010.1
3,12,75,-1010.1
4,14,88,-2.77136
4,12,88,-2.75132
4,9,88,-2.68475
4,5,88,-2.69212
4,3,88,-2.5627
3,18,40,-1010.1
2,11,86,-1010.1
4,2,88,-2.79862
4,1,88,-12.9686
1,19,87,-1020.41
1,13,87,-1020.41
4,15,41,-2.06085
1,12,87,-1020.4
1,18,69,-1020.41
1,9,87,-1020.41
4,10,44,-2.13413
1,8,87,-1020.41
1,4,87,-1020.41
2,15,87,-1010.1
2,13,87,-1010.1
2,4,90,-1010.1
2,8,87,-1010.1
2,7,87,-1010.1
2,8,53,-1010.1
1,14,77,-1020.41
2,6,87,-1010.1
4,20,44,-2.1853
2,5,87,-1010.1
2,2,87,-1010.1
3,3,30,-1010.1
3,17,59,-1010.1
3,19,87,-1010.1
3,16,87,-1010.1
4,7,52,-2.16271
3,15,87,-1010.1
3,13,87,-1010.1
3,14,64,-1010.1
3,6,87,-1010.1
3,4,87,-1010.1
4,16,87,-2.68941
1,12,73,-1020.4
4,15,87,-2.69152
3,12,68,-1010.1
4,14,87,-2.62474
4,12,87,-2.66159
4,9,87,-2.65858
4,5,87,-2.52982
4,3,87,-2.75802
4,1,87,-12.6441
1,19,86,-1020.41
1,13,86,-1020.41
4,15,42,-2.18703
1,12,86,-1020.4
1,18,66,-1020.41
1,9,86,-1020.41
4,10,45,-2.135
1,8,86,-1020.41
1,4,86,-1020.41
2,15,86,-1010.1
2,13,86,-1010.1
2,8,86,-1010.1
2,7,86,-1010.1
1,14,76,-1020.41
2,8,54,-1010.1
2,6,86,-1010.1
4,20,45,-2.21159
2,5,86,-1010.1
2,2,86,-1010.1
3,3,31,-1010.1
3,17,56,-1010.1
3,19,86,-1010.1
3,16,86,-1010.1
4,7,55,-2.29353
3,15,86,-1010.1
4,3,97,-3.29572
2,16,86,-1010.1
3,13,86,-1010.1
3,14,65,-1010.1
3,6,86,-1010.1
3,4,86,-1010.1
4,16,86,-2.68676
1,12,74,-1020.4
4,15,86,-2.52738
3,12,69,-1010.1
4,14,86,-2.52572
4,12,86,-2.31359
4,9,86,-2.55345
4,5,86,-2.64922
4,3,86,-2.55803
4,1,86,-12.6327
1,19,85,-1020.41
1,13,85,-1020.41
4,15,43,-2.09144
1,12,85,-1020.4
2,18,61,-1010.1
1,18,71,-1020.41
1,9,85,-1020.41
4,10,42,-2.17363
1,8,85,-1020.41
1,4,85,-1020.41
3,15,53,-1010.1
4,7,86,-2.41158
2,20,85,-1010.1
2,15,85,-1010.1
2,13,85,-1010.1
2,7,85,-1010.1
2,8,51,-1010.1
1,14,79,-1020.41
2,6,85,-1010.1
4,20,46,-2.14075
2,5,85,-1010.1
2,2,85,-1010.1
3,3,16,-1010.1
3,17,61,-1010.1
3,19,85,-1010.1
4,7,54,-2.25537
3,15,85,-1010.1
4,3,96,-3.17803
2,16,87,-1010.1
3,13,85,-1010.1
3,9,85,-1010.1
3,14,66,-1010.1
3,6,85,-1010.1
3,4,85,-1010.1
4,16,85,-2.74819
3,12,70,-1010.1
4,14,85,-2.85065
4,13,85,-2.80705
4,12,85,-2.56993
4,9,85,-2.85436
4,5,85,-2.71807
4,3,85,-2.78449
4,1,85,-12.9846
1,19,84,-1020.41
1,13,84,-1020.41
4,15,44,-2.10575
1,12,84,-1020.4
2,18,60,-1010.1
1,18,68,-1020.41
1,9,84,-1020.41
4,10,43,-2.13908
1,8,84,-1020.41
1,4,84,-1020.41
2,15,84,-1010.1
2,13,84,-1010.1
1,9,39,-1020.41
2,18,51,-1010.1
1,18,85,-1020.41
2,7,49,-1010.1
2,12,84,-1010.1
2,4,85,-1010.1
2,8,84,-1010.1
2,7,84,-1010.1
1,14,78,-1020.41
2,8,52,-1010.1
2,6,84,-1010.1
4,20,47,-2.13921
2,5,84,-1010.1
2,8,85,-1010.1
2,4,84,-1010.1
3,3,17,-1010.1
3,17,58,-1010.1
3,19,84,-1010.1
3,16,84,-1010.1
4,7,49,-2.20866
3,15,84,-1010.1
2,16,84,-1010.1
3,13,84,-1010.1
3,14,67,-1010.1
3,6,84,-1010.1
3,4,84,-1010.1
4,16,84,-2.54599
3,12,71,-1010.1
4,14,84,-2.63416
4,13,84,-2.6146
4,12,84,-2.55579
4,9,84,-2.51601
4,5,84,-2.58534
4,3,84,-2.5454
4,1,84,-12.7865
1,19,83,-1020.41
2,7,55,-1010.1
2,12,86,-1010.1
1,9,33,-1020.41
2,18,49,-1010.1
1,18,83,-1020.41
1,13,83,-1020.41
4,15,45,-2.35494
1,12,83,-1020.4
1,18,65,-1020.41
1,9,83,-1020.41
4,10,16,-1010.1
1,8,83,-1020.41
1,4,83,-1020.41
3,16,85,-1010.1
1,2,83,-1020.4
3,15,55,-1010.1
4,7,84,-2.49983
2,20,83,-1010.1
2,15,83,-1010.1
2,13,83,-1010.1
1,9,36,-1020.41
2,18,44,-1010.1
1,18,84,-1020.41
2,7,50,-1010.1
2,12,83,-1010.1
3,2,25,-1010.1
4,8,88,-2.77389
2,10,83,-1010.1
2,4,86,-1010.1
2,8,83,-1010.1
2,7,83,-1010.1
1,14,49,-1020.41
2,8,49,-1010.1
2,6,83,-1010.1
4,20,48,-2.0455
2,5,83,-1010.1
2,2,83,-1010.1
3,3,26,-1010.1
3,19,83,-1010.1
3,16,83,-1010.1
4,7,48,-2.1185
3,15,83,-1010.1
2,16,85,-1010.1
3,13,83,-1010.1
3,14,68,-1010.1
2,19,51,-1010.1
3,6,83,-1010.1
3,5,83,-1010.1
4,16,83,-2.60512
3,12,64,-1010.1
4,14,83,-2.79897
4,13,83,-2.63597
4,12,83,-2.75045
4,9,83,-2.57973
2,10,90,-1010.1
3,2,18,-1010.1
4,8,83,-2.54882
2,20,86,-1010.1
3,15,50,-1010.1
4,7,83,-2.77135
4,5,83,-2.5257
2,16,24,-1010.1
4,3,83,-2.61736
4,1,83,-12.8386
1,19,82,-1020.41
2,7,48,-1010.1
2,12,85,-1010.1
1,9,38,-1020.41
2,18,50,-1010.1
1,18,82,-1020.41
1,13,82,-1020.41
4,15,46,-2.30102
1,12,82,-1020.4
1,9,82,-1020.41
4,10,17,-1010.1
1,8,82,-1020.41
1,4,82,-1020.41
3,15,54,-1010.1
4,7,87,-2.63457
2,20,82,-1010.1
2,15,82,-1010.1
2,13,82,-1010.1
1,9,37,-1020.41
2,18,45,-1010.1
1,18,87,-1020.41
2,7,51,-1010.1
2,12,82,-1010.1
2,10,82,-1010.1
2,4,87,-1010.1
1,14,80,-1020.41
2,8,82,-1010.1
2,7,82,-1010.1
1,14,48,-1020.41
2,8,50,-1010.1
2,6,82,-1010.1
4,20,49,-1.91137
2,5,82,-1010.1
2,4,82,-1010.1
2,2,82,-1010.1
3,3,27,-1010.1
3,19,82,-1010.1
3,16,82,-1010.1
4,7,51,-2.19249
3,15,82,-1010.1
2,16,82,-1010.1
3,13,82,-1010.1
3,9,82,-1010.1
3,14,69,-1010.1
2,19,50,-1010.1
3,6,82,-1010.1
3,5,82,-1010.1
4,16,82,-2.514
3,12,65,-1010.1
4,14,82,-2.74051
4,13,82,-2.72636
4,12,82,-2.68879
4,9,82,-2.64042
4,5,82,-2.62843
2,16,25,-1010.1
4,3,82,-2.58732
4,1,82,-12.8805
1,19,81,-1020.41
1,13,81,-1020.41
4,15,47,-2.21341
1,12,81,-1020.4
1,18,67,-1020.41
1,9,81,-1020.41
2,14,14,-1010.1
4,10,46,-2.25439
1,8,81,-1020.41
1,4,81,-1020.41
2,15,81,-1010.1
2,13,81,-1010.1
1,9,42,-1020.41
2,18,46,-1010.1
1,18,86,-1020.41
2,7,44,-1010.1
2,12,81,-1010.1
3,2,27,-1010.1
4,8,90,-2.76498
2,10,81,-1010.1
2,7,81,-1010.1
2,8,63,-1010.1
1,14,51,-1020.41
2,6,81,-1010.1
4,20,50,-2.00372
2,5,81,-1010.1
3,3,28,-1010.1
3,17,57,-1010.1
3,19,81,-1010.1
3,16,81,-1010.1
4,7,50,-2.14908
3,15,81,-1010.1
2,16,83,-1010.1
3,13,81,-1010.1
3,14,70,-1010.1
2,19,49,-1010.1
3,6,81,-1010.1
3,5,81,-1010.1
4,16,81,-2.80377
3,12,66,-1010.1
4,14,81,-2.60871
4,13,81,-2.57949
4,12,81,-2.66923
4,9,81,-2.67048
2,20,84,-1010.1
3,15,52,-1010.1
4,7,81,-2.60588
4,5,81,-2.58019
4,3,81,-2.5995
4,1,81,-12.8822
1,19,80,-1020.41
2,7,54,-1010.1
2,12,87,-1010.1
1,9,32,-1020.41
2,18,48,-1010.1
1,18,80,-1020.41
1,13,80,-1020.41
4,15,32,-1010.1
1,12,80,-1020.4
1,18,64,-1020.41
1,9,80,-1020.41
2,14,15,-1010.1
4,10,47,-2.10033
1,8,80,-1020.41
1,4,80,-1020.41
3,15,40,-1010.1
4,7,85,-2.87477
2,20,80,-1010.1
2,15,80,-1010.1
2,13,80,-1010.1
1,9,43,-1020.41
2,18,47,-1010.1
1,18,89,-1020.41
2,7,45,-1010.1
2,12,80,-1010.1
2,4,81,-1010.1
1,14,82,-1020.41
2,8,80,-1010.1
2,7,80,-1010.1
2,8,48,-1010.1
1,14,50,-1020.41
2,6,80,-1010.1
4,20,51,-2.02142
2,5,80,-1010.1
1,14,81,-1020.41
2,8,81,-1010.1
2,4,80,-1010.1
3,3,29,-1010.1
3,19,80,-1010.1
3,16,80,-1010.1
4,7,61,-2.09176
3,15,80,-1010.1
2,16,80,-1010.1
3,13,80,-1010.1
3,14,71,-1010.1
2,19,48,-1010.1
3,6,80,-1010.1
3,5,80,-1010.1
4,16,80,-2.41653
3,12,67,-1010.1
4,14,80,-2.55108
4,13,80,-2.45435
4,12,80,-2.53298
4,9,80,-2.36807
3,2,17,-1010.1
4,8,80,-2.44946
2,20,87,-1010.1
3,15,51,-1010.1
4,7,80,-2.4329
4,5,80,-2.50532
4,3,80,-2.54567
4,1,80,-12.5957
2,14,82,-1010.1
4,14,41,-2.22351
1,20,79,-1020.41
1,19,79,-1020.41
1,13,79,-1020.41
4,15,81,-2.67744
1,12,79,-1020.4
1,9,79,-1020.41
2,14,16,-1010.1
1,11,11,-1010.1
4,10,20,-1010.1
1,8,79,-1020.41
1,7,79,-1020.41
1,4,79,-1020.41
1,2,79,-1020.4
3,15,59,-1010.1
4,7,88,-2.76599
2,20,79,-1010.1
2,16,79,-1010.1
2,15,79,-1010.1
2,13,79,-1010.1
2,7,79,-1010.1
2,8,93,-1010.1
1,14,85,-1020.41
2,6,79,-1010.1
4,20,52,-2.02324
2,5,79,-1010.1
2,2,79,-1010.1
3,3,6,-1010.1
3,19,79,-1010.1
1,2,85,-1020.4
3,16,79,-1010.1
4,7,44,-2.24383
3,15,79,-1010.1
2,16,81,-1010.1
3,13,79,-1010.1
4,4,91,-2.82622
3,9,79,-1010.1
3,1,59,-1000.02
3,7,79,-1010.1
3,6,79,-1010.1
3,5,79,-1010.1
3,17,72,-1010.1
3,3,79,-1010.1
3,3,70,-1010.1
3,17,67,-1010.1
4,19,79,-2.63947
4,18,79,-2.57733
4,16,79,-2.69202
3,12,92,-1010.1
4,14,79,-2.59881
4,13,79,-2.59218
4,12,79,-2.66718
1,8,48,-1020.41
4,16,50,-1.99733
1,11,84,-1020.2
4,10,79,-2.63705
4,9,79,-2.50462
2,20,90,-1010.1
3,15,46,-1010.1
4,7,79,-2.69738
4,5,79,-2.54177
4,3,79,-2.47274
4,1,79,-12.8275
2,14,83,-1010.1
4,14,46,-2.22558
1,20,78,-1020.41
1,19,78,-1020.41
1,17,78,-1020.41
1,13,78,-1020.41
4,15,82,-2.66803
1,12,78,-1020.4
1,9,78,-1020.41
2,14,17,-1010.1
4,10,21,-1010.1
1,8,78,-1020.41
1,7,78,-1020.41
1,4,78,-1020.41
1,2,78,-1020.4
2,20,78,-1010.1
2,16,78,-1010.1
2,15,78,-1010.1
2,13,78,-1010.1
1,4,30,-1020.41
2,9,78,-1010.1
2,7,78,-1010.1
2,8,94,-1010.1
1,14,84,-1020.41
2,6,78,-1010.1
4,20,53,-2.25784
2,5,78,-1010.1
2,2,78,-1010.1
3,3,7,-1010.1
3,19,78,-1010.1
1,2,86,-1020.4
3,16,78,-1010.1
4,7,47,-1.9077
3,15,78,-1010.1
3,13,78,-1010.1
4,4,88,-2.8398
3,9,78,-1010.1
3,1,58,-1000.02
3,7,78,-1010.1
3,6,78,-1010.1
3,5,78,-1010.1
3,17,75,-1010.1
3,3,78,-1010.1
2,5,53,-1010.1
4,20,78,-2.18701
3,3,71,-1010.1
3,17,64,-1010.1
4,19,78,-2.34776
4,16,78,-2.51603
3,12,93,-1010.1
4,14,78,-2.48718
4,13,78,-2.33946
4,12,78,-2.44572
1,8,49,-1020.41
4,16,49,-1.97649
1,11,85,-1020.2
4,10,78,-2.36519
4,9,78,-2.38597
3,15,45,-1010.1
4,7,78,-2.4567
4,5,78,-2.39189
4,3,78,-2.44982
4,1,78,-12.8057
2,14,80,-1010.1
4,14,43,-2.25409
1,20,77,-1020.41
1,19,77,-1020.41
1,17,77,-1020.41
1,13,77,-1020.41
4,15,83,-2.63924
1,12,77,-1020.4
1,9,77,-1020.41
2,14,18,-1010.1
4,10,18,-1010.1
1,8,77,-1020.41
1,7,77,-1020.41
1,4,77,-1020.41
1,2,77,-1020.4
2,20,77,-1010.1
2,16,77,-1010.1
2,15,77,-1010.1
2,13,77,-1010.1
2,7,77,-1010.1
2,8,91,-1010.1
1,14,87,-1020.41
2,6,77,-1010.1
4,20,54,-2.12649
2,5,77,-1010.1
2,2,77,-1010.1
3,3,24,-1010.1
3,19,77,-1010.1
3,16,77,-1010.1
4,7,46,-2.30746
3,15,77,-1010.1
3,13,77,-1010.1
3,9,77,-1010.1
3,1,57,-1000.02
3,7,77,-1010.1
1,19,89,-1020.41
3,6,77,-1010.1
3,5,77,-1010.1
3,3,88,-1010.1
3,17,69,-1010.1
4,19,77,-2.44891
4,16,77,-2.44703
4,15,77,-2.38304
3,12,94,-1010.1
4,6,82,-2.61844
4,14,77,-2.4118
4,13,77,-2.47803
4,12,77,-2.44058
1,11,82,-1020.2
1,8,54,-1020.41
4,16,60,-1.97136
4,10,77,-2.45964
4,9,77,-2.44122
2,20,88,-1010.1
3,15,32,-1010.1
4,7,77,-2.47942
4,5,77,-2.38505
4,3,77,-2.39195
4,1,77,-12.4843
2,14,81,-1010.1
4,14,40,-2.30591
1,20,76,-1020.41
1,19,76,-1020.41
1,17,76,-1020.41
1,13,76,-1020.41
4,15,84,-2.70201
1,12,76,-1020.4
1,9,76,-1020.41
2,14,19,-1010.1
