Down,Distance,Yardline,EPA
4,3,92,-2.45564
4,11,97,-4.02405
4,2,92,-1.94456
4,1,92,-1.45256
1,19,91,-0.612932
1,17,91,-0.428911
1,15,91,-0.039704
1,13,91,-0.0763654
1,7,91,0.247696
1,4,91,0.276728
1,2,91,0.306868
1,1,91,0.147251
2,20,91,-1.31799
2,17,91,-1.04483
2,16,91,-1.16633
2,15,91,-0.84572
2,14,91,-1.15232
2,13,91,-0.778514
2,10,91,-0.480946
2,7,91,-0.268902
2,4,91,0.183534
2,2,91,0.0211037
2,1,91,0.0877327
3,20,91,-2.27825
3,18,91,-2.3561
3,16,91,-1.91272
4,18,97,-4.86644
3,13,91,-1.63077
3,11,91,-1.4207
3,10,91,-1.40654
3,9,91,-1.42341
3,8,91,-1.12415
3,6,91,-1.24304
3,5,91,-0.742926
3,4,91,-0.475994
3,2,91,-0.0953008
3,1,91,-0.180699
4,16,91,-4.00953
4,13,91,-3.06849
4,12,91,-3.72416
4,9,91,-2.8719
4,5,91,-2.12455
4,3,91,-2.43521
4,1,91,-1.52432
1,19,90,-0.659585
1,17,90,-0.164829
1,15,90,-0.0555669
1,13,90,-0.225226
1,7,90,-0.0306382
1,4,90,0.329263
1,2,90,0.217597
1,1,90,0.186709
1,9,62,0.597142
2,18,90,-1.70426
2,15,90,-1.12907
2,13,90,-0.706818
2,7,43,1.33126
2,12,90,-0.770729
2,7,90,-0.552497
2,8,74,-0.100653
1,14,72,0.211368
2,6,90,-0.201033
4,20,41,-1.74071
2,5,90,-0.43826
3,3,19,2.38703
3,17,60,-1.06363
3,19,90,-2.57575
3,16,90,-1.96233
4,7,59,-1.35401
3,15,90,-1.89435
4,18,96,-4.86932
3,13,90,-1.28994
3,6,90,-1.27473
3,1,90,-0.326543
3,12,73,-0.846433
4,14,90,-3.66624
4,12,90,-3.98569
4,9,90,-2.73327
4,5,90,-2.55419
4,3,90,-2.4911
4,1,90,-1.11396
4,14,31,-1.44966
4,6,60,-1.67071
1,20,89,-0.775649
1,13,89,-0.221216
4,15,39,-1.86364
1,12,89,-0.0258868
1,8,61,0.826
4,10,66,-1.35017
1,11,89,-0.0350253
2,18,57,-0.210251
1,18,75,0.0737472
1,9,89,-0.181711
4,10,38,-1.40956
1,8,89,-0.00444579
1,4,89,0.079068
1,1,89,0.390278
1,9,57,0.941828
2,18,89,-1.58725
2,15,89,-1.02242
2,13,89,-0.606143
2,7,36,1.88684
2,12,89,-0.735034
2,7,89,-0.477676
2,8,55,0.918941
1,14,75,0.352007
2,6,89,-0.424842
4,20,42,-2.09147
2,5,89,-0.313763
2,4,89,0.0923248
2,1,89,0.246476
3,3,20,2.14319
3,17,49,-0.430246
3,19,89,-2.6152
3,16,89,-1.82032
4,7,58,-1.69904
3,15,89,-2.01457
4,18,99,-4.65207
3,13,89,-1.21642
3,11,89,-1.68283
3,6,89,-1.14585
1,12,71,0.412053
4,15,89,-3.84828
3,12,74,-0.797662
4,14,89,-3.10322
4,12,89,-3.75436
4,9,89,-2.88647
3,2,24,2.06772
4,8,89,-2.83836
4,5,89,-2.44947
4,3,89,-1.98948
2,11,87,-0.571749
3,18,43,0.209135
4,2,89,-1.53146
4,1,89,-1.64322
4,14,28,-1.13825
4,6,35,-1.27866
1,20,88,-0.592644
1,19,88,-0.673196
1,9,40,1.71063
2,18,40,1.35883
1,18,88,-0.29328
1,13,88,-0.0299049
4,15,88,-3.8846
1,12,88,-0.208343
2,18,56,-0.218204
1,18,72,0.0864741
1,9,88,-0.107723
4,10,39,-1.16302
1,8,88,0.0970956
