Down,Distance,Yardline,EPA
1,17,80,0.53678
2,17,82,0.525029
1,15,80,0.856392
2,14,88,0.382514
1,13,80,1.40307
2,8,83,1.21879
2,8,84,1.09914
1,7,80,1.2594
2,7,86,1.04145
1,4,80,2.11258
1,2,80,2.56493
2,2,90,2.55248
1,1,80,3.09088
2,1,89,3.12122
2,1,84,2.92511
2,1,88,3.10114
2,18,80,0.727486
3,18,91,0.369863
3,18,84,0.493177
2,16,80,0.629622
3,16,89,0.405145
2,13,80,0.795857
4,18,99,0.207498
3,13,89,0.900101
3,10,88,0.779249
3,9,90,1.2017
3,6,90,1.1563
3,5,91,1.32605
3,4,86,1.48323
3,2,90,2.25775
3,2,84,2.24472
3,7,97,0.683689
3,1,93,2.75736
1,3,84,2.15563
4,17,92,0.0540689
4,16,90,0.209522
4,12,91,0
4,9,93,0.929668
4,1,93,2.94245
2,20,86,0.591438
2,20,83,0.48252
1,19,79,0.451074
1,17,79,0.623936
2,17,81,0.477562
1,15,79,0.779161
2,14,87,0.51322
1,13,79,1.29765
2,10,89,0.796474
2,10,91,0.832673
2,10,93,0.83557
2,10,88,0.816962
1,7,79,1.19262
2,7,83,1.1339
1,4,79,1.94976
1,2,79,2.60056
1,1,79,3.2664
3,20,89,0.542141
3,18,90,0.468094
2,16,79,0.456179
3,16,86,0.508073
2,13,79,0.875752
4,18,98,0.19015
3,13,88,0.85533
3,11,90,0.691142
3,11,84,0.859119
3,10,86,0.74792
3,9,88,1.24122
3,9,92,1.17427
3,8,91,0.950149
3,6,89,1.46351
3,6,95,1.13242
3,5,94,1.39453
3,5,89,1.28313
3,2,89,2.22812
3,7,96,0.567518
3,1,92,2.68287
3,13,90,0.783205
4,18,96,0.229645
4,16,89,0.131033
4,13,88,0.354964
4,13,94,0.212481
4,5,94,0.940236
4,5,90,1.04704
4,1,92,2.96154
2,20,82,0.460888
1,19,78,0.498347
1,17,78,0.596703
2,17,80,0.403188
1,15,78,0.790307
2,15,87,0.604291
2,14,86,0.431727
1,13,78,1.56609
2,9,84,0.93688
2,8,87,1.1552
1,7,78,1.23033
2,7,80,1.26967
1,4,78,1.89665
2,3,87,1.92945
1,2,78,2.64072
1,1,78,3.2264
3,20,88,0.531284
3,20,92,0.729601
3,18,81,0.532322
3,18,89,0.526499
2,16,78,0.482201
3,16,87,0.49389
2,14,78,0.843618
3,11,89,0.746631
3,11,88,0.74853
3,11,87,0.651221
3,8,85,1.02797
3,6,88,1.41544
3,4,87,1.51912
3,4,84,1.7625
3,2,88,2.35585
1,3,88,2.09175
4,17,88,0.067764
4,16,88,0.175494
4,13,90,0.590159
4,13,93,0.319238
4,9,92,1.05141
4,9,91,1.23656
2,11,97,0.59097
4,11,94,0.402795
4,2,87,1.99466
4,1,88,3.02667
1,19,77,0.428146
1,17,77,0.633633
2,17,79,0.511822
1,15,77,0.875021
2,15,88,0.578614
2,14,85,0.527276
1,13,77,1.48072
2,9,87,1.06689
1,14,80,0.987518
2,8,82,1.23177
1,7,77,1.4079
2,7,79,1.29016
1,4,77,1.95156
2,3,86,2.00514
2,3,85,1.97952
1,2,77,2.61886
1,1,77,3.2376
