Down,Distance,Yardline,EPA
3,1,86,0.945957
4,3,88,-0.464654
4,1,86,0.210717
2,27,92,0
1,19,85,0.714456
1,17,85,0.731198
2,23,91,0
2,17,86,-0.0127434
1,15,85,0.566504
2,20,90,-0.143371
1,13,85,0.921683
2,20,97,-0.373304
2,17,94,-0.149511
2,13,92,0.0383593
2,13,93,0.280451
1,4,85,1.10379
1,2,85,1.04276
1,1,85,0.986724
2,4,88,1.10119
2,3,87,0.766426
2,2,86,1.21185
3,26,94,0
3,25,95,0
3,20,93,-0.665268
3,18,94,-0.741673
3,20,97,-1.04462
3,10,92,-0.250464
3,9,91,-0.464028
3,6,89,0.0789861
2,1,85,1.00886
3,11,95,-0.639103
3,4,88,0.4799
3,5,89,0.264331
3,2,86,0.909987
1,3,85,1.13102
4,17,95,-1.08116
4,16,96,-1.28921
4,5,88,-0.518432
3,1,85,0.893201
2,11,96,-0.0759558
4,11,95,-1.17866
4,2,86,0.143756
4,14,98,-1.21304
4,3,87,-0.653032
4,1,85,0.237311
1,19,84,0.487037
1,17,84,0.617434
2,24,91,0
2,27,94,0
1,15,84,0.921337
1,13,84,0.867819
2,17,92,-0.10728
2,13,88,0.518544
2,17,95,-0.147203
2,8,87,0.562836
1,4,84,1.24016
2,16,97,-0.644756
2,3,85,0.99338
1,1,84,1.09241
2,3,86,0.924407
2,2,85,0.957163
3,24,91,0
3,24,92,0
3,25,94,0
3,16,94,-0.890114
3,16,95,-0.868145
3,9,89,-0.203185
3,13,93,-0.187105
3,9,90,-0.360382
3,10,91,-0.478045
3,8,89,0.0803486
3,6,88,0.123447
2,25,96,0
2,1,84,1.21084
3,5,88,0.573077
3,2,85,0.805509
3,11,94,-0.381515
3,4,87,0.53177
1,13,93,0.521255
4,31,97,0
4,21,97,0
4,16,94,-1.32044
4,12,91,-1.11487
4,16,95,-1.3323
4,12,94,-1.40704
4,5,87,-0.589242
4,13,95,-1.25704
3,1,84,1.03111
4,3,86,-0.603289
2,11,97,-0.120117
4,2,87,0.197829
4,11,94,-1.24247
4,1,84,0.47889
2,27,90,0
1,19,83,0.786557
2,27,91,0
2,24,89,0
1,17,83,0.666311
2,24,90,0
1,15,83,0.737898
2,27,95,0
2,8,95,0.320152
1,14,83,0.943592
1,13,83,0.840882
2,14,90,0.144721
2,20,96,-0.205457
2,15,91,0.0670707
2,16,93,-0.169998
2,13,91,0.272394
2,8,86,0.626063
1,4,83,1.19672
1,2,83,1.04041
2,3,84,0.951998
2,15,96,-0.225878
1,1,83,1.15706
2,4,86,1.06071
2,2,84,0.982919
3,34,97,0
3,28,92,0
3,28,94,0
3,24,90,0
3,25,92,0
3,24,93,0
3,18,91,-0.707058
3,18,92,-0.63995
3,16,91,-0.622147
3,20,95,-0.965741
3,16,93,-0.788962
3,8,86,0.132492
3,9,88,-0.229008
3,10,89,-0.0890855
3,10,90,-0.218449
3,8,88,-0.0578255
2,2,83,0.974183
2,1,83,1.07943
3,4,86,0.515995
3,11,93,-0.236337
3,5,87,0.649541
3,8,90,0.0792952
3,2,84,0.740575
1,13,92,0.681701
4,31,96,0
4,29,95,0
1,3,87,0.978003
4,17,93,-1.13036
4,16,93,-1.24905
4,12,92,-1.17616
4,13,93,-1.0139
4,5,85,-0.95141
4,12,93,-1.35195
4,13,94,-1.22885
4,5,86,-0.610722
3,1,83,0.967358
4,3,85,-0.466771
4,1,83,0.210521
2,30,92,0
1,19,82,0.618605
2,30,94,0
1,17,82,0.720742
1,15,82,0.878738
2,17,84,0.132695
1,13,82,0.744786
2,14,85,0.251141
2,20,92,-0.280671
1,9,82,1.18482
2,20,94,-0.220042
3,27,91,0
1,7,82,1.00489
1,4,82,1.08795
2,10,89,0.555928
1,2,82,1.2809
2,10,90,0.446625
1,1,82,1.14343
2,7,88,0.696871
2,4,85,0.922458
2,10,91,0.25353
1,7,83,0.995284
3,27,90,0
3,28,91,0
3,28,93,0
3,18,90,-0.737965
3,16,90,-0.509266
3,20,94,-0.890716
3,18,93,-0.759698
3,11,86,-0.133601
3,16,92,-0.730383
3,18,95,-0.710264
3,9,87,0.0447552
