Down,Distance,Yardline,play_type,Optimal Choice,EP
1,10,26,field_goal,2,0.7219453930540598
1,10,27,pass,1,0.07026532149898207
1,10,28,pass,1,0.024116903951040495
1,10,29,field_goal,2,0.8028573525289738
1,10,30,field_goal,2,0.11282459951536455
1,10,31,field_goal,2,0.8758844853303542
1,10,32,field_goal,2,0.924977133107792
1,10,33,pass,1,0.1625215431452551
1,10,34,pass,1,0.12399418293079521
1,10,35,field_goal,2,0.439003219024824
1,10,36,field_goal,2,1.3127412787992898
1,10,37,field_goal,2,1.3150820553144547
1,10,38,pass,1,0.03158526484989913
1,10,39,pass,1,0.13060501025508053
1,10,40,pass,1,-0.00370688498030612
1,10,41,field_goal,2,0.20832223741281708
1,10,42,field_goal,2,0.7122531930418627
1,10,43,field_goal,2,1.867609534775124
1,10,44,field_goal,2,1.5014587763484686
1,10,45,pass,1,0.0160463361835203
1,10,46,pass,1,-0.03750751806994821
1,10,47,pass,1,0.04506464821467079
1,10,48,pass,1,0.0752041955706653
1,10,49,pass,1,0.056537278638585445
1,10,50,pass,1,0.11031529054255056
1,10,51,run,0,-0.07663142897872599
1,10,52,pass,1,0.10185949076972922
1,10,53,pass,1,0.11756163553395961
1,10,54,pass,1,0.04382026752455004
1,10,55,pass,1,0.05462971543840727
1,10,56,pass,1,-0.0035189370170589877
1,10,57,pass,1,0.08880154066698275
1,10,58,pass,1,0.05548212163950743
1,10,59,pass,1,0.18733080492307985
1,10,60,pass,1,0.06489588871442549
1,10,61,pass,1,0.06751178263020348
1,10,62,pass,1,0.15692641910654095
1,10,63,pass,1,0.1098870238409025
1,10,64,pass,1,0.06427404138856417
1,10,65,pass,1,0.08382373357653056
1,10,66,pass,1,0.05443987683496794
1,10,67,pass,1,0.13271171070077276
1,10,68,pass,1,0.17816650963973224
1,10,69,pass,1,0.1648934040617628
1,10,70,pass,1,0.05240193735632372
1,10,71,pass,1,0.0019372460412410643
1,10,72,pass,1,0.09602686620500561
1,10,73,pass,1,0.10088881532098079
1,10,74,pass,1,0.06673439896064223
1,10,75,pass,1,0.0267712391089843
1,10,76,pass,1,0.12641157102992448
1,10,77,pass,1,0.1347766472326614
1,10,78,pass,1,0.2048580199983164
1,10,79,pass,1,0.07181957542334717
1,10,80,pass,1,0.08192967661820327
1,10,81,pass,1,0.13552694767527537
1,10,82,pass,1,0.09458237569394175
1,10,83,pass,1,0.2321117476441048
1,10,84,pass,1,0.18957950015998165
1,10,85,pass,1,0.16645178809796388
1,10,86,pass,1,0.03594160036182558
1,10,87,pass,1,-0.04377419458724549
1,10,88,run,0,-0.08615388917143942
1,10,89,pass,1,0.06568315838241912
1,10,90,pass,1,0.010870584031750929
1,10,91,pass,1,0.021519339189663644
1,10,92,pass,1,0.11101200462789874
1,10,93,pass,1,0.10107864838967436
1,10,94,pass,1,-0.07972858855549322
1,10,95,pass,1,-0.032173012262709064
1,10,96,pass,1,0.02151151630739773
1,10,97,pass,1,0.38270859027894716
1,10,98,pass,1,-0.2999233820625634
1,10,99,pass,1,-0.008381794478223023
1,11,11,run,0,0.6427790464222198
1,11,13,pass,1,-0.4488717397325672
1,11,36,run,0,0.047616740281227976
1,11,45,run,0,1.120475483185146
1,11,51,pass,1,0.43851945537608117
1,11,62,run,0,1.707611589692533
1,11,63,run,0,-0.20953034493140876
1,11,64,pass,1,-0.44616192393004894
1,11,76,run,0,0.3884693309664726
1,11,91,run,0,0.9327925846446306
1,11,94,pass,1,-7.0932855081046
1,11,98,run,0,-0.14035562798380852
1,11,99,pass,1,0.91997802676633
1,12,12,field_goal,2,0.13658287208813125
1,12,40,pass,1,0.3772257081582211
1,12,43,pass,1,-0.40661180205643177
1,12,46,run,0,-0.7784472510684282
1,12,54,run,0,1.0398148988606408
1,12,61,pass,1,-0.5094564869068563
1,12,74,pass,1,1.0543972528539598
1,12,77,pass,1,0.0501605742610991
1,12,90,pass,1,0.8438913421705365
1,12,94,run,0,0.5181363618467003
1,12,95,run,0,-0.17806431581266224
1,12,97,pass,1,0.9283017336856574
1,12,98,pass,1,0.22446821839548647
1,12,99,run,0,-0.050005956552922726
1,13,13,run,0,0.1705162938887952
1,13,19,pass,1,1.5016919223417062
1,13,24,pass,1,0.5033105649636127
1,13,25,run,0,0.728644912771415
1,13,33,pass,1,0.1370065116789192
1,13,35,pass,1,0.45269299228675663
1,13,36,run,0,-0.406084569869563
1,13,42,run,0,-0.5934681040234864
1,13,45,pass,1,1.9562738337554038
1,13,61,pass,1,-0.5108822956681252
1,13,66,pass,1,0.42478030384518206
1,13,70,pass,1,1.7550546262646094
1,13,71,pass,1,0.27579729026183486
1,13,78,pass,1,1.609190124203451
1,13,86,run,0,0.09546728851273656
1,13,89,pass,1,-0.1090136629063636
1,13,96,pass,1,1.1174297365359962
1,13,97,run,0,0.2717865351587534
1,13,98,run,0,0.0356318685808219
